aX,aY,aZ,gX,gY,gZ
1.031,-0.266,0.082,-8.240,-7.935,10.437
0.541,2.239,-1.584,-26.428,-98.755,103.699
1.048,3.315,-1.727,-72.205,-135.986,139.587
1.605,4.000,-1.304,-132.507,-185.852,130.615
2.189,4.000,-0.423,-200.500,-234.741,65.002
2.651,3.883,0.885,-250.916,-259.399,-49.561
3.040,2.944,2.178,-251.343,-242.187,-180.359
3.442,1.530,3.175,-228.699,-191.040,-302.673
3.678,-0.027,3.836,-205.933,-106.628,-391.174
3.668,-1.380,4.000,-174.561,-12.451,-430.603
3.455,-2.573,4.000,-130.798,81.543,-425.171
3.024,-3.433,3.777,-105.042,172.058,-390.625
2.443,-3.905,3.183,-102.600,246.521,-342.285
1.842,-4.000,2.678,-96.436,293.884,-296.875
1.215,-4.000,2.131,-58.105,322.021,-271.484
0.716,-4.000,1.507,6.165,333.984,-256.958
0.359,-4.000,1.005,67.627,321.777,-233.276
0.112,-3.750,0.698,102.600,287.231,-192.322
-0.059,-3.293,0.517,112.122,240.173,-143.188
-0.243,-2.772,0.515,120.300,183.899,-100.586
-0.469,-2.238,0.702,139.343,126.648,-68.298
-0.623,-1.803,1.221,158.813,72.571,-46.570
-0.818,-1.526,1.706,167.236,32.776,-31.006
-1.018,-1.085,1.972,176.392,17.883,-13.550
-1.203,-0.670,1.943,215.942,20.996,-0.916
-1.412,-0.307,1.748,269.043,24.780,5.371
-1.619,-0.020,1.453,308.105,22.217,9.827
-1.793,0.318,1.203,326.599,6.470,23.682
-1.914,0.615,0.974,318.909,-17.395,46.875
-1.892,0.861,0.746,287.720,-42.419,70.923
-1.728,1.008,0.575,251.892,-64.697,82.214
-1.496,1.041,0.615,229.980,-86.487,73.120
-1.239,0.983,0.665,224.915,-101.318,52.612
-1.044,0.866,0.667,226.196,-105.408,28.992
-0.916,0.724,0.605,228.088,-104.126,9.888
-0.853,0.657,0.461,226.807,-101.318,5.005
-0.804,0.671,0.239,217.041,-96.436,12.878
-0.769,0.757,-0.020,199.402,-93.689,25.269
-0.736,0.862,-0.309,178.894,-96.436,38.757
-0.664,0.997,-0.567,157.532,-108.582,50.964
