aX,aY,aZ,gX,gY,gZ
2.439,0.382,0.606,40.283,52.795,89.722
2.472,0.594,0.618,26.001,80.200,103.821
2.498,0.810,0.589,9.644,107.971,113.953
2.496,0.966,0.491,-4.639,122.498,115.417
2.481,1.059,0.306,-4.028,134.644,104.309
2.500,1.083,0.114,6.042,144.775,80.688
2.515,1.097,0.016,18.066,149.597,52.490
2.491,1.060,0.011,26.733,155.762,31.616
2.383,1.048,0.057,29.480,160.583,21.545
2.194,0.996,0.112,25.574,162.537,20.264
1.935,0.980,0.088,10.010,166.199,27.222
1.682,1.025,0.113,-26.306,169.861,40.710
1.385,1.010,0.139,-64.636,168.274,58.411
1.142,1.021,0.164,-87.585,159.912,75.134
0.920,1.093,0.121,-91.492,150.452,83.252
0.743,1.214,0.278,-83.984,139.893,85.754
0.641,1.401,0.340,-68.237,133.057,81.909
0.559,1.458,0.247,-51.636,125.916,66.956
0.465,1.447,0.197,-48.401,114.807,46.143
0.383,1.313,0.155,-44.617,98.511,24.292
0.285,1.144,0.117,-36.865,79.224,9.155
0.219,1.049,0.123,-40.588,60.486,9.644
0.158,0.979,0.193,-54.810,42.908,23.865
0.099,0.991,0.317,-74.890,31.921,42.847
0.068,1.029,0.459,-90.515,28.503,60.669
0.007,1.084,0.524,-96.252,32.349,72.571
-0.016,1.092,0.536,-91.919,38.452,76.233
-0.137,1.035,0.531,-80.200,39.978,73.853
-0.198,0.953,0.448,-63.965,37.476,66.895
-0.207,0.904,0.389,-52.551,35.095,57.983
-0.222,0.853,0.354,-48.767,23.560,51.208
-0.214,0.764,0.351,-56.824,9.583,48.889
-0.201,0.689,0.426,-76.660,0.610,51.086
-0.192,0.612,0.475,-92.102,-3.418,53.162
-0.182,0.533,0.496,-99.609,-5.737,53.284
-0.174,0.505,0.497,-100.586,-8.423,51.270
-0.160,0.493,0.487,-98.511,-9.399,46.936
-0.131,0.426,0.492,-103.210,-8.789,43.335
-0.121,0.316,0.461,-108.887,-4.944,42.236
-0.115,0.211,0.399,-110.840,0.061,42.847
-0.162,0.106,0.295,-109.863,-1.282,42.358
-0.170,0.031,0.228,-110.657,-14.282,36.255
-0.152,-0.006,0.192,-113.892,-30.884,32.227
-0.092,-0.034,0.184,-115.173,-41.870,29.663
-0.054,-0.058,0.183,-111.145,-54.504,20.386
-0.023,-0.053,0.190,-103.394,-65.613,5.493
-0.006,-0.075,0.195,-89.783,-71.655,-12.390
-0.008,-0.128,0.175,-72.449,-73.547,-33.020
-0.041,-0.244,0.128,-58.533,-70.374,-49.927
-0.076,-0.403,0.055,-58.044,-62.500,-53.528
-0.060,-0.560,-0.024,-74.646,-52.185,-39.368
-0.019,-0.669,-0.110,-99.304,-40.527,-13.000
-0.006,-0.719,-0.176,-116.150,-31.616,14.099
0.012,-0.740,-0.278,-118.835,-31.372,33.081
0.008,-0.708,-0.360,-111.328,-39.856,36.255
-0.012,-0.650,-0.429,-90.820,-57.129,26.550
-0.018,-0.583,-0.417,-68.481,-76.111,10.742
0.008,-0.530,-0.402,-54.932,-90.515,-5.249
0.019,-0.518,-0.334,-47.668,-102.356,-18.433
0.019,-0.539,-0.245,-43.579,-107.483,-31.311
0.113,-0.574,-0.203,-41.565,-109.558,-43.213
0.204,-0.657,-0.247,-45.288,-111.694,-51.758
0.315,-0.776,-0.290,-58.533,-107.178,-53.833
0.458,-0.922,-0.370,-73.059,-99.487,-50.354
0.482,-1.082,-0.475,-71.777,-95.642,-47.180
0.493,-1.221,-0.571,-57.190,-93.567,-47.119
0.486,-1.281,-0.621,-32.837,-97.168,-45.837
0.423,-1.306,-0.607,-5.371,-113.647,-43.152
0.388,-1.263,-0.457,14.587,-136.108,-43.030
0.477,-1.168,-0.215,30.273,-153.748,-44.434
0.617,-1.047,-0.026,39.612,-165.283,-45.959
0.869,-0.931,0.115,35.706,-166.931,-46.387
1.126,-0.934,0.265,24.414,-156.677,-47.363
1.275,-1.049,0.253,22.644,-139.038,-60.120
1.301,-1.241,0.109,32.959,-116.638,-73.547
1.254,-1.464,-0.042,45.715,-101.929,-79.407
1.234,-1.602,-0.130,52.246,-101.379,-70.679
1.245,-1.642,-0.122,60.669,-115.112,-46.082
1.383,-1.441,0.015,73.792,-134.705,-13.489
1.629,-1.116,0.231,84.656,-150.574,16.113
1.869,-0.792,0.453,84.412,-156.494,35.583
2.166,-0.652,0.560,84.778,-149.902,33.447
2.356,-0.741,0.537,101.501,-134.399,8.911
2.332,-1.039,0.429,128.845,-113.464,-25.940
2.346,-1.286,0.385,156.250,-98.511,-45.410
2.410,-1.240,0.511,172.546,-96.802,-23.987
2.554,-0.931,0.971,169.434,-98.389,29.541
2.733,-0.274,1.476,164.673,-91.675,87.891
2.896,0.462,1.775,167.297,-72.388,128.052
2.987,1.044,1.832,169.556,-43.579,132.202
2.869,1.292,1.599,174.255,-11.230,105.713
2.542,1.344,1.323,174.011,18.799,77.576
2.211,1.371,1.135,167.053,39.978,63.965
1.896,1.466,0.938,159.058,49.866,63.599
1.598,1.599,0.762,143.921,55.237,70.190
1.292,1.724,0.597,129.944,60.852,73.364
0.992,1.839,0.408,119.324,64.209,70.740
0.778,1.846,0.278,106.812,61.218,62.378
0.642,1.841,0.193,94.604,56.946,49.255
0.545,1.799,0.103,83.069,52.979,34.668
0.528,1.668,0.076,66.040,42.786,19.409
0.503,1.482,0.118,51.819,25.330,-1.160
0.481,1.226,0.153,48.706,8.667,-24.780
0.502,0.954,0.234,48.828,-6.592,-42.542
0.511,0.732,0.334,46.936,-21.240,-47.974
0.549,0.556,0.478,40.955,-30.457,-40.710
0.628,0.427,0.582,33.569,-32.471,-27.649
0.677,0.350,0.626,31.128,-27.344,-17.578
0.703,0.303,0.566,30.884,-18.005,-13.000
0.750,0.293,0.558,26.428,-12.512,-10.193
0.728,0.210,0.376,24.353,-7.996,-6.714
0.832,0.239,0.470,20.203,3.235,-7.812
0.736,0.244,0.308,18.066,-21.606,-3.357
0.857,0.255,0.307,11.963,-14.160,0.671
0.889,0.254,0.319,5.859,-8.362,5.188
0.921,0.243,0.280,6.958,-18.494,4.944
0.939,0.224,0.248,9.216,-21.729,2.258
0.980,0.197,0.262,9.155,-14.771,0.732
2.277,0.116,0.310,44.189,23.437,32.104
2.362,0.236,0.315,48.279,36.438,40.405
2.447,0.390,0.368,48.035,49.988,54.749
2.534,0.612,0.433,43.640,65.857,70.374
2.673,0.798,0.433,36.072,82.153,82.153
2.816,0.933,0.376,28.137,97.656,85.083
2.860,1.019,0.355,22.644,115.479,77.637
2.745,1.020,0.440,18.555,134.460,62.378
2.622,1.004,0.581,11.658,147.217,46.387
2.483,0.962,0.710,4.761,154.907,33.875
2.268,0.907,0.779,0.183,166.199,27.893
2.002,0.840,0.781,-3.113,178.406,30.212
1.706,0.778,0.743,-4.822,185.303,38.879
1.390,0.719,0.694,-8.423,187.988,51.331
1.079,0.727,0.624,-13.672,187.927,68.848
0.794,0.777,0.536,-20.203,182.251,89.905
0.558,0.833,0.440,-29.846,170.288,110.291
0.409,0.907,0.355,-40.955,154.968,126.038
0.299,0.988,0.323,-48.950,136.353,133.118
0.242,1.124,0.364,-53.528,115.784,131.104
0.179,1.197,0.424,-61.890,99.915,124.573
0.162,1.207,0.482,-81.848,92.468,115.112
0.125,1.136,0.546,-100.891,86.792,101.746
0.068,1.056,0.556,-107.544,83.923,87.158
-0.022,0.964,0.477,-102.051,84.290,73.242
-0.107,0.912,0.339,-93.323,81.482,64.941
-0.188,0.880,0.221,-88.440,73.975,65.491
